uid,group,join_dt,device
1000199,B,2023-02-06,I
1000200,A,2023-01-26,I
1000201,B,2023-01-27,I
1000202,A,2023-01-26,A
1000203,A,2023-01-26,A
1000204,B,2023-01-27,A
1000205,A,2023-01-29,A
1000206,A,2023-01-26,I
1000207,A,2023-01-26,A
1000208,A,2023-01-25,I
1000209,B,2023-02-05,A
1000210,A,2023-01-28,I
1000211,B,2023-01-30,A
1000212,A,2023-01-31,A
1000213,B,2023-01-26,I
1000214,B,2023-01-25,A
1000215,B,2023-02-02,I
1000216,B,2023-01-27,I
1000217,B,2023-01-26,A
1000218,B,2023-01-25,A
1000219,A,2023-01-25,A
1000220,A,2023-01-26,I
1000221,A,2023-01-27,A
1000222,A,2023-02-01,A
1000223,A,2023-02-01,I
1000224,A,2023-02-05,A
1000225,B,2023-01-28,A
1000226,A,2023-01-31,
1000227,A,2023-01-25,I
1000228,B,2023-02-01,I
1000229,A,2023-01-28,I
1000230,B,2023-01-25,I
1000231,B,2023-01-25,I
1000232,B,2023-01-29,A
1000233,A,2023-01-26,A
1000234,B,2023-02-02,A
1000235,A,2023-02-06,I
1000236,B,2023-02-05,I
1000237,B,2023-01-29,I
1000238,B,2023-01-27,I
1000239,A,2023-01-25,A
1000240,B,2023-02-05,I
1000241,A,2023-01-25,A
1000242,B,2023-01-27,A
1000243,A,2023-01-26,A
1000244,B,2023-01-28,A
1000245,A,2023-01-25,A
1000246,B,2023-01-26,I
1000247,A,2023-01-28,A
1000248,A,2023-01-25,A
1000249,A,2023-01-26,
1000250,B,2023-02-04,A
1000251,A,2023-01-26,A
1000252,A,2023-02-01,I
1000253,B,2023-02-06,A
1000254,B,2023-01-30,A
1000255,B,2023-01-26,A
1000256,B,2023-01-28,I
1000257,B,2023-01-29,A
1000258,A,2023-01-27,I
1000259,A,2023-02-06,A
1000260,B,2023-02-04,A
1000261,A,2023-01-25,A
1000262,A,2023-01-31,A
1000263,B,2023-01-31,A
1000264,A,2023-01-25,A
1000265,A,2023-01-28,A
1000266,B,2023-01-31,A
1000267,B,2023-01-25,I
1000268,A,2023-01-31,A
1000269,A,2023-01-25,A
1000270,A,2023-01-26,I
1000271,A,2023-01-28,A
1000272,B,2023-01-29,I
1000273,B,2023-02-03,I
1000274,A,2023-01-25,I
1000275,A,2023-01-26,I
1000276,A,2023-01-26,I
1000277,A,2023-02-03,A
1000278,A,2023-01-29,I
1000279,A,2023-01-25,A
1000280,A,2023-02-01,A
1000281,B,2023-01-28,A
1000282,B,2023-02-04,A
1000283,B,2023-02-02,I
1000284,B,2023-01-25,I
1000285,A,2023-01-25,I
1000286,A,2023-01-30,I
1000287,B,2023-01-27,I
1000288,A,2023-01-28,I
1000289,B,2023-02-04,A
1000290,A,2023-01-26,I
1000291,A,2023-01-28,I
1000292,A,2023-01-26,A
1000294,B,2023-02-02,A
1000295,B,2023-01-27,A
1000296,A,2023-01-29,A
1000297,B,2023-01-26,A
1000298,A,2023-01-26,A
1000299,B,2023-01-27,I
1000300,A,2023-01-26,A
1000301,B,2023-01-25,I
1000302,A,2023-01-25,I
1000303,B,2023-01-29,I
1000304,A,2023-02-03,A
1000305,A,2023-01-26,A
1000306,A,2023-01-25,A
1000307,A,2023-01-31,A
1000308,A,2023-01-27,A
1000309,B,2023-01-26,I
1000310,B,2023-01-27,A
1000311,A,2023-01-25,I
1000312,B,2023-02-04,I
1000313,B,2023-01-25,I
1000315,A,2023-02-02,A
1000316,A,2023-02-02,A
1000317,B,2023-01-27,A
1000318,B,2023-02-03,A
1000319,A,2023-01-28,A
1000320,A,2023-01-31,A
1000321,A,2023-01-30,A
1000322,B,2023-01-27,A
1000323,B,2023-01-25,A
1000325,A,2023-01-30,I
1000326,B,2023-01-30,A
1000327,A,2023-01-25,A
1000328,B,2023-01-26,A
1000329,B,2023-01-31,I
1000330,B,2023-01-26,A
1000331,A,2023-01-27,I
1000332,A,2023-01-25,I
1000333,A,2023-01-26,A
1000334,A,2023-01-29,I
1000335,A,2023-01-25,A
1000336,B,2023-01-26,A
1000337,A,2023-01-25,A
1000338,A,2023-02-06,I
1000339,A,2023-02-02,A
1000340,B,2023-02-01,I
1000341,A,2023-01-28,I
1000342,B,2023-01-27,I
1000343,A,2023-02-01,A
1000344,A,2023-01-25,I
1000345,A,2023-01-25,A
1000346,A,2023-01-25,I
1000347,A,2023-01-27,A
1000348,B,2023-01-25,A
1000349,B,2023-01-30,A
1000350,B,2023-01-25,I
1000351,B,2023-01-28,A
1000352,A,2023-01-27,A
1000353,A,2023-01-25,A
1000354,B,2023-01-26,I
1000355,A,2023-01-26,A
1000356,A,2023-01-26,I
1000357,A,2023-01-27,I
1000358,B,2023-01-27,A
1000359,B,2023-01-27,I
1000360,B,2023-01-25,I
1000361,B,2023-02-04,I
1000362,A,2023-01-27,A
1000363,A,2023-02-06,A
1000364,A,2023-01-29,A
1000365,B,2023-01-26,A
1000366,B,2023-02-04,A
1000367,B,2023-01-25,A
1000368,A,2023-02-03,A
1000369,A,2023-01-25,I
1000370,B,2023-01-26,A
1000371,A,2023-02-03,A
1000372,B,2023-01-27,
1000373,A,2023-01-30,A
1000374,A,2023-02-03,A
1000375,B,2023-01-25,A
1000376,A,2023-01-28,A
1000377,B,2023-02-02,A
1000378,B,2023-01-25,A
1000379,A,2023-01-25,I
1000381,B,2023-01-26,A
1000382,A,2023-02-04,I
1000383,A,2023-01-25,A
1000384,A,2023-01-26,I
1000385,A,2023-01-26,A
1000386,A,2023-01-28,A
1000387,B,2023-02-03,A
1000388,B,2023-01-26,I
1000389,B,2023-01-27,A
1000391,B,2023-02-06,A
1000392,A,2023-01-25,A
1000393,A,2023-01-25,A
1000394,A,2023-01-29,I
1000395,A,2023-02-01,A
1000396,A,2023-01-26,A
1000397,B,2023-01-29,A
1000398,B,2023-01-26,A
1000399,A,2023-01-26,I
1000401,A,2023-01-30,I
1000402,A,2023-01-25,I
1000403,A,2023-01-26,A
1000404,A,2023-01-31,A
1000405,A,2023-01-28,I
1000406,A,2023-02-01,A
1000407,A,2023-01-27,I
1000408,B,2023-01-27,A
1000409,A,2023-01-27,A
1000410,B,2023-01-25,A
1000411,B,2023-02-03,I
1000412,A,2023-01-25,I
1000413,B,2023-01-27,A
1000414,B,2023-01-28,A
1000415,B,2023-02-04,I
1000416,A,2023-02-05,A
1000417,B,2023-01-30,A
1000418,B,2023-02-04,A
1000419,A,2023-01-26,I
1000420,A,2023-02-01,A
1000421,A,2023-02-06,A
1000422,A,2023-01-30,I
1000423,B,2023-01-25,A
1000424,B,2023-01-25,I
1000425,B,2023-01-29,A
1000426,A,2023-01-30,I
1000428,A,2023-01-28,A
1000429,B,2023-01-25,A
1000430,A,2023-01-26,I
1000431,B,2023-01-25,A
1000432,A,2023-01-26,A
1000433,B,2023-02-05,I
1000434,B,2023-01-31,I
1000436,B,2023-01-28,A
1000437,A,2023-02-06,A
1000438,A,2023-01-25,I
1000439,A,2023-01-25,I
1000440,B,2023-01-27,A
1000441,A,2023-02-04,A
1000442,A,2023-01-26,I
1000443,A,2023-01-28,A
1000445,B,2023-01-26,A
1000446,A,2023-01-31,A
1000447,B,2023-01-25,I
1000448,A,2023-01-25,I
1000449,B,2023-01-25,I
1000450,B,2023-01-27,I
1000451,A,2023-02-01,I
1000452,A,2023-01-28,A
1000453,A,2023-01-25,A
1000454,B,2023-01-30,I
1000455,B,2023-01-29,I
1000456,A,2023-01-27,I
1000457,A,2023-02-02,I
1000458,A,2023-02-06,I
1000459,B,2023-01-26,A
1000460,B,2023-01-27,A
1000461,A,2023-01-26,I
1000462,B,2023-01-25,I
1000463,A,2023-02-05,A
1000464,A,2023-01-26,A
1000465,A,2023-01-27,A
1000466,B,2023-01-30,I
1000467,B,2023-01-28,A
1000468,B,2023-01-25,I
1000469,B,2023-02-05,A
1000470,B,2023-01-30,I
1000471,A,2023-02-01,A
1000472,B,2023-01-28,I
1000473,A,2023-01-28,A
1000474,B,2023-01-26,A
1000475,B,2023-02-06,A
1000476,B,2023-02-01,I
1000477,B,2023-01-28,A
1000478,A,2023-01-27,I
1000479,B,2023-01-31,I
1000480,A,2023-01-25,A
1000481,A,2023-02-02,A
1000482,B,2023-01-26,A
1000483,A,2023-01-31,I
1000484,A,2023-01-28,A
1000485,A,2023-01-25,I
1000486,B,2023-01-25,A
1000487,A,2023-01-29,I
1000488,B,2023-02-05,A
1000489,A,2023-02-06,I
1000490,A,2023-01-27,A
1000491,B,2023-01-26,I
1000492,A,2023-02-02,A
1000493,B,2023-02-05,A
1000494,A,2023-01-27,I
1000495,A,2023-01-27,I
1000496,A,2023-02-05,A
1000497,A,2023-01-25,A
1000498,A,2023-02-05,I
1000499,B,2023-01-25,I
1000500,B,2023-01-30,A
1000501,B,2023-01-29,I
1000502,B,2023-01-30,A
1000503,A,2023-01-25,A
1000504,A,2023-01-29,I
1000505,B,2023-01-28,
1000506,B,2023-01-30,A
1000507,B,2023-02-01,A
1000508,A,2023-01-26,I
1000509,A,2023-01-25,I
1000510,B,2023-02-02,A
1000511,B,2023-01-25,I
1000512,B,2023-01-25,I
1000513,A,2023-01-28,A
1000514,B,2023-02-05,A
1000515,A,2023-01-26,A
1000516,A,2023-01-25,A
1000517,A,2023-02-03,A
1000518,B,2023-01-31,A
1000519,B,2023-01-27,I
1000520,B,2023-02-01,A
1000521,B,2023-01-26,I
1000522,B,2023-01-28,A
1000523,A,2023-02-04,A
1000524,B,2023-01-25,A
1000525,B,2023-02-05,I
1000526,A,2023-01-29,
1000527,B,2023-01-31,A
1000528,A,2023-01-25,A
1000529,B,2023-01-27,A
1000530,B,2023-02-03,I
1000531,A,2023-01-25,I
1000532,A,2023-01-26,I
1000533,B,2023-01-25,A
1000534,B,2023-01-29,A
1000535,A,2023-01-31,I
1000536,A,2023-01-30,A
1000537,A,2023-01-25,I
1000538,A,2023-01-26,I
1000539,A,2023-01-26,I
1000540,A,2023-01-25,A
1000541,B,2023-01-26,A
1000542,A,2023-01-27,A
1000543,B,2023-02-03,A
1000544,A,2023-01-30,A
1000545,B,2023-01-29,A
1000546,A,2023-01-29,A
1000547,A,2023-01-26,A
1000548,A,2023-01-31,I
1000549,B,2023-02-03,I
1000550,B,2023-01-25,I
1000551,A,2023-01-28,A
1000552,B,2023-01-27,I
1000553,A,2023-01-25,A
1000554,B,2023-01-26,I
1000555,B,2023-01-27,I
1000556,B,2023-01-27,A
1000557,A,2023-01-28,A
1000558,A,2023-01-27,I
1000559,B,2023-01-25,I
1000560,B,2023-01-25,I
1000561,B,2023-01-25,A
1000562,A,2023-01-27,I
1000563,A,2023-01-25,A
1000564,A,2023-01-25,A
1000565,A,2023-02-02,I
1000566,A,2023-01-25,I
1000567,B,2023-02-04,A
1000568,A,2023-01-30,I
1000569,A,2023-02-01,A
1000570,A,2023-01-25,A
1000571,A,2023-02-04,A
1000572,B,2023-01-26,I
1000573,A,2023-01-26,I
1000574,A,2023-02-06,A
1000575,B,2023-02-06,I
1000576,B,2023-01-27,A
1000577,B,2023-01-26,A
1000578,B,2023-01-25,A
1000579,B,2023-02-04,A
1000580,A,2023-01-27,A
1000581,A,2023-01-28,I
1000583,B,2023-01-31,A
1000584,A,2023-01-25,I
1000585,A,2023-02-04,A
1000586,A,2023-01-31,I
1000587,A,2023-01-25,A
1000588,A,2023-01-25,A
1000589,A,2023-01-26,A
1000590,A,2023-02-02,A
1000591,B,2023-01-27,A
1000592,B,2023-01-25,A
1000593,B,2023-01-27,A
1000594,B,2023-01-25,A
1000595,B,2023-01-29,A
1000596,B,2023-01-28,A
1000597,B,2023-01-26,A
1000598,B,2023-01-31,I
1000599,A,2023-01-30,I
1000600,B,2023-01-25,I
1000601,A,2023-01-25,A
1000602,B,2023-01-28,I
1000603,B,2023-01-25,A
1000604,A,2023-01-28,A
1000606,A,2023-01-26,I
1000607,A,2023-02-03,A
1000608,A,2023-02-04,I
1000609,B,2023-01-25,I
1000610,B,2023-02-04,I
1000611,B,2023-01-28,I
1000612,B,2023-01-30,A
1000613,A,2023-01-29,A
1000614,A,2023-02-04,I
1000615,A,2023-02-05,I
1000616,A,2023-01-25,I
1000617,A,2023-01-27,I
1000618,B,2023-01-26,A
1000619,A,2023-01-26,A
1000620,B,2023-01-25,A
1000621,A,2023-01-26,I
1000622,B,2023-01-31,A
1000623,A,2023-01-27,A
1000624,B,2023-01-25,A
1000625,A,2023-01-25,I
1000626,A,2023-02-06,A
1000627,B,2023-01-27,A
1000628,B,2023-01-30,I
1000629,A,2023-02-02,A
1000630,A,2023-01-28,I
1000631,B,2023-02-01,I
1000632,B,2023-02-04,A
1000633,A,2023-01-27,A
1000634,B,2023-01-25,I
1000635,B,2023-01-25,I
1000636,A,2023-01-25,I
1000637,B,2023-02-06,A
1000638,A,2023-01-27,I
1000639,B,2023-01-28,I
1000640,B,2023-02-01,A
1000641,B,2023-02-05,A
1000642,B,2023-01-30,A
1000643,A,2023-01-29,I
1000644,A,2023-01-28,I
1000645,B,2023-01-25,A
1000646,A,2023-01-25,I
1000647,B,2023-01-29,A
1000648,B,2023-02-01,I
1000649,B,2023-01-26,A
1000650,B,2023-02-01,A
1000651,A,2023-01-26,I
1000652,B,2023-01-27,I
1000653,A,2023-02-06,I
1000654,A,2023-01-25,I
1000655,A,2023-01-26,I
1000656,A,2023-01-26,A
1000657,A,2023-01-26,A
1000658,A,2023-01-26,A
1000659,A,2023-02-01,A
1000660,A,2023-02-03,A
1000661,A,2023-02-05,A
1000662,A,2023-01-29,A
1000663,A,2023-01-28,I
1000664,B,2023-01-28,A
1000665,B,2023-01-25,A
1000666,B,2023-01-26,A
1000668,A,2023-01-25,I
1000669,A,2023-01-29,I
1000670,A,2023-01-26,A
1000671,A,2023-01-31,A
1000672,B,2023-01-28,I
1000673,B,2023-01-28,A
1000674,A,2023-01-26,A
1000675,B,2023-01-25,A
1000676,B,2023-01-28,A
1000677,B,2023-01-25,A
1000678,B,2023-01-25,I
1000680,B,2023-01-26,A
1000681,B,2023-01-26,A
1000682,B,2023-01-29,I
1000683,B,2023-02-03,I
1000684,A,2023-01-26,I
1000685,B,2023-01-27,A
1000686,A,2023-02-02,A
1000687,A,2023-02-01,A
1000688,B,2023-01-25,A
1000689,B,2023-01-25,A
1000690,A,2023-01-30,A
1000691,B,2023-02-01,I
1000692,B,2023-01-28,A
1000693,B,2023-01-26,A
1000694,B,2023-01-25,I
1000695,A,2023-01-25,A
1000696,B,2023-02-04,I
1000697,B,2023-01-31,A
1000698,B,2023-01-29,A
1000699,B,2023-01-28,I
1000700,B,2023-02-01,A
1000701,A,2023-01-25,A
1000702,B,2023-01-26,I
1000703,A,2023-01-30,A
1000705,B,2023-01-26,A
1000706,B,2023-01-30,A
1000707,A,2023-01-27,I
1000708,B,2023-01-31,A
1000709,B,2023-01-30,A
1000711,B,2023-02-03,A
1000712,A,2023-01-25,I
1000714,A,2023-01-29,A
1000715,B,2023-01-26,A
1000716,A,2023-01-25,I
1000717,B,2023-01-25,I
1000718,B,2023-01-25,A
1000719,B,2023-02-04,A
1000720,A,2023-01-31,A
1000721,A,2023-01-26,A
1000722,A,2023-02-05,A
1000723,A,2023-01-25,I
1000724,B,2023-01-26,I
1000725,B,2023-01-25,A
1000726,A,2023-01-27,A
1000727,B,2023-02-05,A
1000728,A,2023-01-27,I
1000729,A,2023-01-31,I
1000730,A,2023-01-26,A
1000731,B,2023-01-25,A
1000732,B,2023-01-31,A
1000733,A,2023-01-31,I
1000734,A,2023-01-26,A
1000735,B,2023-02-04,A
1000736,A,2023-01-26,I
1000737,A,2023-01-29,A
1000738,A,2023-01-25,I
1000739,B,2023-01-25,I
1000740,B,2023-02-02,I
1000741,A,2023-02-04,I
1000742,B,2023-01-30,I
1000743,A,2023-01-26,I
1000744,A,2023-01-27,I
1000745,B,2023-01-25,I
1000746,A,2023-01-29,I
1000747,A,2023-01-27,I
1000748,A,2023-01-27,I
1000749,B,2023-01-25,I
1000750,A,2023-01-25,A
1000751,A,2023-01-25,A
1000752,B,2023-01-27,A
1000753,A,2023-01-26,I
1000754,B,2023-01-27,A
1000755,A,2023-01-30,A
1000756,B,2023-01-27,I
1000757,A,2023-01-25,A
1000758,B,2023-01-27,A
1000759,A,2023-01-28,I
1000760,A,2023-01-26,A
1000761,A,2023-01-26,I
1000762,B,2023-01-26,I
1000763,A,2023-01-29,A
1000764,A,2023-01-31,A
1000765,A,2023-01-25,A
1000766,A,2023-01-25,A
1000767,B,2023-02-03,I
1000768,A,2023-01-25,A
1000769,A,2023-01-31,A
1000770,A,2023-01-26,A
1000771,B,2023-01-30,A
1000772,A,2023-01-25,I
1000773,A,2023-01-27,A
1000774,B,2023-01-29,A
1000775,B,2023-01-30,A
1000777,A,2023-01-25,I
1000778,B,2023-01-26,A
1000779,A,2023-01-25,A
1000780,A,2023-01-25,A
1000781,B,2023-01-25,I
1000782,A,2023-01-27,A
1000783,A,2023-01-27,I
1000784,A,2023-01-27,A
1000785,B,2023-01-30,A
1000786,A,2023-01-25,A
1000787,A,2023-01-26,A
1000788,A,2023-02-04,A
1000789,A,2023-01-29,A
1000790,A,2023-01-25,I
1000791,B,2023-01-28,A
1000792,B,2023-01-25,A
1000793,B,2023-01-27,A
1000794,A,2023-01-27,I
1000795,B,2023-01-29,I
1000796,B,2023-01-28,I
1000797,A,2023-01-25,A
1000798,A,2023-02-03,A
1000799,A,2023-02-04,A
1000800,A,2023-01-25,A
1000801,A,2023-01-28,A
1000802,B,2023-01-27,A
1000803,A,2023-02-02,A
1000804,A,2023-02-05,I
1000805,A,2023-01-28,A
1000806,B,2023-01-25,A
1000807,B,2023-01-29,A
1000808,B,2023-02-03,A
1000809,A,2023-01-27,A
1000810,A,2023-02-06,A
1000811,A,2023-01-29,I
1000812,B,2023-01-25,A
1000813,A,2023-01-25,I
1000814,B,2023-01-27,A
1000816,B,2023-01-28,A
1000817,B,2023-02-05,I
1000818,A,2023-01-25,A
1000819,B,2023-01-28,I
1000820,A,2023-01-28,I
1000821,B,2023-01-27,A
1000822,B,2023-02-06,I
1000824,B,2023-01-28,I
1000825,B,2023-01-25,A
1000826,A,2023-01-25,A
1000827,A,2023-02-01,A
1000828,A,2023-01-26,A
1000829,A,2023-01-26,I
1000830,B,2023-01-29,I
1000831,B,2023-01-27,A
1000832,A,2023-01-27,A
1000833,B,2023-01-25,A
1000834,A,2023-01-25,A
1000835,B,2023-02-05,A
1000836,A,2023-01-29,I
1000837,B,2023-02-03,I
1000838,B,2023-01-30,I
1000839,B,2023-01-25,A
1000840,A,2023-01-31,I
1000841,A,2023-01-28,I
1000842,A,2023-01-31,A
1000843,B,2023-01-30,A
1000844,A,2023-01-31,A
1000845,B,2023-01-25,A
1000846,A,2023-01-30,A
1000847,B,2023-01-27,
1000848,B,2023-02-04,I
1000849,B,2023-01-25,A
1000850,B,2023-01-28,A
1000851,B,2023-01-25,I
1000852,B,2023-01-25,A
1000853,B,2023-01-31,I
1000854,A,2023-01-28,I
1000855,B,2023-01-28,A
1000856,B,2023-01-25,A
1000857,A,2023-01-28,I
1000858,B,2023-01-30,I
1000859,A,2023-01-30,A
1000860,B,2023-01-25,A
1000862,A,2023-01-26,I
1000863,A,2023-01-26,I
1000864,B,2023-01-27,A
1000865,B,2023-01-27,A
1000866,B,2023-01-28,I
1000867,B,2023-01-26,A
1000868,A,2023-01-25,I
1000869,A,2023-01-29,I
1000870,B,2023-01-27,I
1000871,B,2023-01-27,I
1000872,B,2023-01-26,A
1000873,B,2023-02-02,A
1000874,B,2023-01-26,I
1000875,A,2023-02-03,A
1000876,B,2023-01-26,A
1000877,B,2023-02-05,A
1000878,B,2023-01-27,I
1000879,B,2023-01-28,A
1000880,B,2023-01-26,A
1000881,B,2023-01-26,A
1000882,A,2023-01-26,I
1000883,A,2023-01-26,A
1000884,B,2023-01-26,A
1000885,B,2023-01-25,A
1000886,A,2023-02-03,A
1000887,A,2023-01-25,A
1000888,B,2023-01-27,I
1000889,B,2023-01-26,A
1000890,B,2023-01-26,A
1000891,B,2023-01-25,A
1000892,B,2023-01-25,A
1000893,A,2023-01-26,A
1000894,A,2023-01-31,I
1000895,B,2023-01-27,A
1000896,B,2023-01-25,I
1000897,B,2023-01-29,I
1000898,B,2023-01-27,I
1000899,A,2023-01-26,I
1000900,A,2023-01-26,A
1000901,A,2023-01-27,A
1000902,A,2023-01-29,A
1000903,B,2023-01-25,A
1000904,B,2023-01-25,I
1000905,B,2023-02-02,I
1000906,A,2023-01-29,A
1000907,B,2023-01-26,
1000908,B,2023-01-26,I
1000909,B,2023-01-31,I
1000910,A,2023-01-29,A
1000911,A,2023-01-29,A
1000912,B,2023-01-29,A
1000913,A,2023-01-27,A
1000914,A,2023-01-29,I
1000915,A,2023-01-25,I
1000916,A,2023-02-03,A
1000917,B,2023-01-29,A
1000918,A,2023-01-27,I
1000919,A,2023-02-01,A
1000920,B,2023-01-25,I
1000921,A,2023-02-06,A
1000922,B,2023-01-31,I
1000923,A,2023-01-25,I
1000924,A,2023-01-30,A
1000925,A,2023-01-27,A
1000926,B,2023-01-27,A
1000927,B,2023-02-06,I
1000928,A,2023-01-25,A
1000929,B,2023-01-26,A
1000930,A,2023-01-27,A
1000931,B,2023-01-30,I
1000932,A,2023-01-25,A
1000933,B,2023-02-03,I
1000934,B,2023-01-30,I
1000935,A,2023-02-02,A
1000936,A,2023-01-30,A
1000937,B,2023-01-27,
1000938,A,2023-01-27,I
1000939,B,2023-01-25,A
1000940,A,2023-01-26,A
1000941,B,2023-01-27,I
1000942,B,2023-01-31,I
1000943,A,2023-01-26,A
1000944,A,2023-02-01,A
1000945,A,2023-02-01,I
1000946,A,2023-01-31,A
1000947,B,2023-01-29,A
1000948,B,2023-01-27,I
1000949,B,2023-01-30,A
1000950,A,2023-01-27,A
1000951,A,2023-01-29,I
1000952,A,2023-01-28,I
1000953,A,2023-01-28,A
1000954,A,2023-01-25,A
1000955,A,2023-01-25,A
1000956,A,2023-02-02,A
1000957,B,2023-02-06,I
1000958,B,2023-01-27,A
